Day,Objective,"Campaign Name","Ad Set Name","Ad Name",Gender,Age,"Amount Spent (USD)",Reach,Impressions,"Unique Link Clicks","Unique Landing Page Views","Website Registrations Completed","App Installs","Unique Mobile App Registrations Completed","Mobile App Purchases","Reporting Starts","Reporting Ends"
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Keep Calm - Cash LP (Branch)",male,45-54,0.02,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UA WC - Money March C - Cash LP",female,45-54,0.04,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UC WC - Blue Chart - Cash LP",female,35-44,0,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,25-34,0.04,4,4,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,55-64,0.06,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,35-44,0.03,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,65+,0.04,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UC WC - Blue Chart - Cash LP",male,25-34,0.47,9,10,1,1,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined LAL (New) - 25-54 - Test Group","TBA 2021 UC WC - Blue Chart - Cash LP",male,35-44,0,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",female,25-34,0.11,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money March C",male,25-34,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",male,35-44,0.45,27,27,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money Market B",male,25-34,0.37,14,14,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money Market B",male,35-44,0.28,13,13,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money Market B",male,65+,0.03,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",female,55-64,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,45-54,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money Market B",male,55-64,0.03,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Buff Doge - Cash LP (Branch)",unknown,25-34,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money March C",male,55-64,0.02,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",female,45-54,0.03,3,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,65+,0.18,5,6,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",male,45-54,0.08,10,10,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",male,55-64,0.05,5,5,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",female,25-34,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",unknown,35-44,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",female,35-44,0,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",female,45-54,0.07,1,1,,,,,,,2021-03-21,2021-03-21
